# pofo simdata v1
# id: USEQ-USD
# name: US equity total return (USD, monthly)
# source: Ken French US market (F-F_Research_Data_Factors, Mkt-RF+RF, 1926-07->), CRSP total US market. Proxy behind VFINX.
1937-08-01,180.479416
1937-09-01,155.970311
1937-10-01,141.043952
1937-11-01,129.323200
1937-12-01,123.775235
1938-01-01,124.369356
1938-02-01,131.644963
1938-03-01,100.155488
1938-04-01,114.668018
1938-05-01,110.241833
1938-06-01,136.578606
1938-07-01,146.576160
1938-08-01,142.647919
1938-09-01,143.860427
1938-10-01,155.095926
1938-11-01,152.304199
1938-12-01,158.640054
1939-01-01,149.153379
1939-02-01,154.403578
1939-03-01,135.813387
1939-04-01,135.568923
1939-05-01,144.814723
1939-06-01,137.110580
1939-07-01,151.123281
1939-08-01,141.013134
1939-09-01,164.844354
1939-10-01,163.970678
1939-11-01,157.985749
1939-12-01,162.614731
1940-01-01,158.695716
1940-02-01,160.980934
1940-03-01,164.281044
1940-04-01,164.642462
1940-05-01,128.388192
1940-06-01,136.977362
1940-07-01,141.333242
1940-08-01,144.442573
1940-09-01,147.894751
1940-10-01,152.375962
1940-11-01,149.861758
1940-12-01,150.895804
1941-01-01,144.573270
1941-02-01,142.491415
1941-03-01,143.702592
1941-04-01,135.842060
1941-05-01,137.703097
1941-06-01,145.731187
1941-07-01,154.329327
1941-08-01,154.082400
1941-09-01,152.741883
1941-10-01,144.707660
1941-11-01,141.885861
1941-12-01,134.976019
1942-01-01,136.069325
1942-02-01,132.735627
1942-03-01,123.988349
1942-04-01,118.582457
1942-05-01,125.685546
1942-06-01,129.079056
1942-07-01,133.648454
1942-08-01,136.094221
1942-09-01,139.700718
1942-10-01,149.270217
1942-11-01,149.509050
1942-12-01,157.238667
1943-01-01,168.496956
1943-02-01,178.926918
1943-03-01,189.769889
1943-04-01,191.363956
1943-05-01,202.405656
1943-06-01,206.150161
1943-07-01,196.358028
1943-08-01,198.969590
1943-09-01,203.804551
1943-10-01,201.521940
1943-11-01,189.632146
1943-12-01,201.768603
1944-01-01,205.339907
1944-02-01,206.161267
1944-03-01,211.274066
1944-04-01,207.766917
1944-05-01,218.383806
1944-06-01,230.482269
1944-07-01,227.117228
1944-08-01,230.728392
1944-09-01,230.820683
1944-10-01,231.259242
1944-11-01,235.283153
1944-12-01,244.835649
1945-01-01,249.830296
1945-02-01,265.444690
1945-03-01,255.118892
1945-04-01,275.094701
1945-05-01,279.963877
1945-06-01,281.111729
1945-07-01,275.095938
1945-08-01,292.289434
1945-09-01,306.319327
1945-10-01,318.327044
1945-11-01,335.580370
1945-12-01,339.674451
1946-01-01,360.972039
1946-02-01,339.999563
1946-03-01,360.093538
1946-04-01,375.433522
1946-05-01,390.338233
1946-06-01,375.271177
1946-07-01,365.288964
1946-08-01,341.800884
1946-09-01,307.108094
1946-10-01,302.777870
1946-11-01,302.808148
1946-12-01,317.948555
1947-01-01,322.018296
1947-02-01,318.604903
1947-03-01,313.347922
1947-04-01,298.401226
1947-05-01,295.626094
1947-06-01,311.382965
1947-07-01,324.336497
1947-08-01,318.790342
1947-09-01,317.260149
1947-10-01,325.286831
1947-11-01,319.008795
1947-12-01,328.866166
1948-01-01,316.171932
1948-02-01,302.544922
1948-03-01,327.353606
1948-04-01,339.563895
1948-05-01,364.691624
1948-06-01,364.618685
1948-07-01,346.387751
1948-08-01,347.530831
1948-09-01,337.278671
1948-10-01,357.515391
1948-11-01,324.266460
1948-12-01,334.967253
1949-01-01,336.072645
1949-02-01,326.528182
1949-03-01,340.079101
1949-04-01,334.025693
1949-05-01,324.405753
1949-06-01,325.054565
1949-07-01,343.355137
1949-08-01,352.557055
1949-09-01,363.768369
1949-10-01,375.518087
1949-11-01,382.615379
1949-12-01,402.626163
1950-01-01,409.833172
1950-02-01,416.267553
1950-03-01,421.928791
1950-04-01,438.932522
1950-05-01,458.333339
1950-06-01,431.475005
1950-07-01,437.817688
1950-08-01,459.533445
1950-09-01,482.142491
1950-10-01,481.804991
1950-11-01,495.536433
1950-12-01,523.682903
1951-01-01,554.213616
1951-02-01,562.526820
1951-03-01,550.995020
1951-04-01,578.489672
1951-05-01,565.531503
1951-06-01,551.336663
1951-07-01,590.371298
1951-08-01,616.465710
1951-09-01,621.520728
1951-10-01,606.790687
1951-11-01,610.977543
1951-12-01,632.056268
1952-01-01,642.169168
1952-02-01,625.986505
1952-03-01,654.468891
1952-04-01,622.727150
1952-05-01,643.463964
1952-06-01,669.138176
1952-07-01,676.231041
1952-08-01,672.038409
1952-09-01,659.404087
1952-10-01,655.975185
1952-11-01,695.727282
1952-12-01,717.225255
1953-01-01,715.934249
1953-02-01,715.003535
1953-03-01,705.994490
1953-04-01,687.144437
1953-05-01,691.817019
1953-06-01,679.986948
1953-07-01,697.326615
1953-08-01,666.713977
1953-09-01,669.180819
1953-10-01,700.833071
1953-11-01,721.297397
1953-12-01,722.379343
1954-01-01,760.232021
1954-02-01,773.460058
1954-03-01,802.387464
1954-04-01,837.371558
1954-05-01,863.748762
1954-06-01,873.595498
1954-07-01,917.712070
1954-08-01,896.604693
1954-09-01,954.794337
1954-10-01,939.517628
1954-11-01,1028.489947
1954-12-01,1085.776837
1955-01-01,1093.160120
1955-02-01,1127.157399
1955-03-01,1126.593821
1955-04-01,1162.757482
1955-05-01,1175.315263
1955-06-01,1253.473728
1955-07-01,1278.417855
1955-08-01,1283.275843
1955-09-01,1280.580964
1955-10-01,1248.694498
1955-11-01,1338.725371
1955-12-01,1361.082085
1956-01-01,1322.835678
1956-02-01,1375.352255
1956-03-01,1468.738673
1956-04-01,1475.641745
1956-05-01,1402.007222
1956-06-01,1453.460887
1956-07-01,1527.006007
1956-08-01,1480.890426
